,Real Kd value,Predicted Kd value,Absolute error,Relative error,Relative error,Mean absolute error,Mean relative error
204,0.347169378,0.34,0.007169378,2.065095211,2.065095211,,
205,0.34499055,0.35,0.00500945,1.452054321,1.452054321,,
206,0.326586442,0.34,0.013413558,4.107199773,4.107199773,,
207,0.352398326,0.35,0.002398326,0.680572569,0.680572569,,
208,0.244628496,0.23,0.014628496,5.979882217,5.979882217,,
209,0,0,0,#¡DIV/0!,0,,
210,0,0,0,#¡DIV/0!,0,,
211,0,0,0,#¡DIV/0!,0,,
212,0,0,0,#¡DIV/0!,0,,
213,0,0,0,#¡DIV/0!,0,,
214,0,0,0,#¡DIV/0!,0,,
215,0,0,0,#¡DIV/0!,0,,
216,0,0,0,#¡DIV/0!,0,,
217,0,0,0,#¡DIV/0!,0,,
218,0,0,0,#¡DIV/0!,0,,
219,0,0,0,#¡DIV/0!,0,,
220,0,0,0,#¡DIV/0!,0,,
221,0,0,0,#¡DIV/0!,0,,
222,0,0,0,#¡DIV/0!,0,,
223,0.970000054,0.97,5.37E-08,5.54E-06,5.54E-06,,
224,0.743870061,0.73,0.013870061,1.86458114,1.86458114,,
225,0.569595338,0.56,0.009595338,1.684588587,1.684588587,,
226,0.532007523,0.53,0.002007523,0.37734866,0.37734866,,
227,0.747155611,0.75,0.002844389,0.380695685,0.380695685,,
228,0.949711602,0.95,0.000288398,0.030366912,0.030366912,,
229,0.961521452,0.96,0.001521452,0.158233812,0.158233812,,
230,0.949999779,0.95,2.21E-07,2.33E-05,2.33E-05,,
231,0.744881871,0.75,0.005118129,0.687106108,0.687106108,,
232,0.430370756,0.43,0.000370756,0.08614796,0.08614796,,
233,0,0,0,#¡DIV/0!,0,,
234,0,0,0,#¡DIV/0!,0,,
235,0,0,0,#¡DIV/0!,0,,
236,0,0,0,#¡DIV/0!,0,,
237,0,0,0,#¡DIV/0!,0,,
238,0,0,0,#¡DIV/0!,0,,
239,0,0,0,#¡DIV/0!,0,,
240,0,0,0,#¡DIV/0!,0,,
241,0,0,0,#¡DIV/0!,0,,
242,0,0,0,#¡DIV/0!,0,,
243,0,0,0,#¡DIV/0!,0,,
244,0,0,0,#¡DIV/0!,0,,
245,0,0,0,#¡DIV/0!,0,,
246,0,0,0,#¡DIV/0!,0,,
247,0.952055241,0.96,0.007944759,0.834485071,0.834485071,,
248,0.52768261,0.55,0.02231739,4.229320719,4.229320719,,
249,0.437455211,0.44,0.002544789,0.58172556,0.58172556,,
250,0.332508281,0.34,0.007491719,2.253092397,2.253092397,,
251,0.189685696,0.2,0.010314304,5.437575986,5.437575986,,
252,0.151225793,0.17,0.018774207,12.41468549,12.41468549,,
253,0.280030942,0.28,3.09E-05,0.011049477,0.011049477,,
254,0.317727272,0.34,0.022272728,7.010014385,7.010014385,,
255,0.342476801,0.34,0.002476801,0.723202556,0.723202556,,
256,0.182174969,0.2,0.017825031,9.78456657,9.78456657,,
257,0,0,0,#¡DIV/0!,0,,
258,0,0,0,#¡DIV/0!,0,,
259,0,0,0,#¡DIV/0!,0,,
260,0,0,0,#¡DIV/0!,0,,
261,0,0,0,#¡DIV/0!,0,,
262,0,0,0,#¡DIV/0!,0,,
263,0,0,0,#¡DIV/0!,0,,
264,0,0,0,#¡DIV/0!,0,,
265,0,0,0,#¡DIV/0!,0,,
266,0,0,0,#¡DIV/0!,0,,
267,0,0,0,#¡DIV/0!,0,,
268,0,0,0,#¡DIV/0!,0,,
269,0,0,0,#¡DIV/0!,0,,
270,0,0,0,#¡DIV/0!,0,,
271,0.970000021,0.97,2.09E-08,2.15E-06,2.15E-06,,
272,0.969242186,0.97,0.000757814,0.078186202,0.078186202,,
273,0.963470885,0.96,0.003470885,0.360248058,0.360248058,,
274,0.913701154,0.9,0.013701154,1.499522413,1.499522413,,
275,0.628128271,0.62,0.008128271,1.294046309,1.294046309,,
276,0.439873329,0.44,0.000126671,0.028797043,0.028797043,,
277,0.852531314,0.85,0.002531314,0.29691747,0.29691747,,
278,0.959216138,0.96,0.000783862,0.081718993,0.081718993,,
279,0.94533427,0.95,0.00466573,0.493553474,0.493553474,,
280,0.719615205,0.73,0.010384795,1.443103843,1.443103843,,
281,0,0,0,#¡DIV/0!,0,,
282,0,0,0,#¡DIV/0!,0,,
283,0,0,0,#¡DIV/0!,0,,
284,0,0,0,#¡DIV/0!,0,,
285,0,0,0,#¡DIV/0!,0,,
286,0,0,0,#¡DIV/0!,0,,
287,0,0,0,#¡DIV/0!,0,,
288,0,0,0,#¡DIV/0!,0,,
289,0,0,0,#¡DIV/0!,0,,
290,0,0,0,#¡DIV/0!,0,,
291,0,0,0,#¡DIV/0!,0,,
292,0,0,0,#¡DIV/0!,0,,
293,0,0,0,#¡DIV/0!,0,,
294,0,0,0,#¡DIV/0!,0,,
295,0.970000021,0.97,2.14E-08,2.20E-06,2.20E-06,,
296,0.964002393,0.97,0.005997607,0.622156843,0.622156843,,
